tweet_url,from_user_id,from_user_screen_name, from_user_followers,to_user_id,to_user_screen_name,to_user_followers
https://twitter.com/a_molick/status/1253304603103330306,4637042115,heatherjones333,58151,1205929674511179776,a_molick,490
https://twitter.com/hudkinskirk0/status/1253155035258720256,4637042115,heatherjones333,58151,1024709612157763584,hudkinskirk0,309
https://twitter.com/sspraguejr/status/1253128308600049666,4637042115,heatherjones333,58151,1077444631,sspraguejr,985
https://twitter.com/NW_2006/status/1253189153367392256,4637042115,heatherjones333,58151,125573102,NW_2006,5023
https://twitter.com/QUIPZONE7/status/1253122976326676480,4637042115,heatherjones333,58151,436427452,QUIPZONE7,4585
https://twitter.com/DianneSteiner/status/1253325151527043073,4637042115,heatherjones333,58151,615360297,DianneSteiner,11086
https://twitter.com/RJC444NOMOREWAR/status/1253131684834275329,4637042115,heatherjones333,58151,731867938567790592,RJC444NOMOREWAR,3137
https://twitter.com/judyme3/status/1253137682852646913,4637042115,heatherjones333,58151,386541602,judyme3,1993
https://twitter.com/MikeRob74599582/status/1253155295280291841,4637042115,heatherjones333,58151,944642255238848512,MikeRob74599582,1063
https://twitter.com/JerryKeirns/status/1253123958846697472,4637042115,heatherjones333,58151,2966965516,JerryKeirns,1484
https://twitter.com/nanamoma0708101/status/1253131593109159939,4637042115,heatherjones333,58151,2678333958,nanamoma0708101,79
https://twitter.com/Arauz2012/status/1253143538927382528,4637042115,heatherjones333,58151,338773372,Arauz2012,31273
https://twitter.com/FBMem87/status/1253123929369083906,4637042115,heatherjones333,58151,772965631486459904,FBMem87,1258
https://twitter.com/kerry98198/status/1253126822700576770,4637042115,heatherjones333,58151,68293108,kerry98198,607
https://twitter.com/teacherfortrump/status/1253187926768398336,4637042115,heatherjones333,58151,726533301796765696,teacherfortrump,42266
https://twitter.com/AvaTaylor2409/status/1253148517486473216,4637042115,heatherjones333,58151,1177389299899273216,AvaTaylor2409,1197
https://twitter.com/jizzi1/status/1253122905266778112,4637042115,heatherjones333,58151,544589549,jizzi1,4255
